Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Range spread,Relative Range
02/14/2022,VONG,Vanguard Russell 1000 Growth Index ETF,67.012,73.877,69.48,-3.55%,6.33%,1.78,0.36,bearish,bearish,63.60,75.05,6.864999999999995,9.88%
02/14/2022,US30Y.INDX,U.S. 30 Year Treasury,2.139,2.329,2.2514,-4.99%,3.45%,0.69,0.59,bullish,bullish,1.86,2.48,0.1900000000000004,8.44%
02/14/2022,USO,United States Commodity Funds LLC - United States Oil Fund,64.086,67.263,65.56,-2.25%,2.60%,1.16,0.46,bullish,bullish,52.33,70.66,3.1770000000000067,4.85%
02/14/2022,UUP,Invesco DB US Dollar Index Trust - Invesco DB US Dollar Index Bullish Fund,25.373,26.139,25.795,-1.64%,1.33%,0.82,0.55,bullish,neutral,25.33,26.22,0.7659999999999982,2.97%
02/14/2022,VIX.INDX,CBOE Volatility Index,18.023,30.451,27.36,-34.13%,11.30%,0.33,0.75,neutral,neutral,11.76,41.16,12.428,45.42%
02/14/2022,VYM,Vanguard Group  Inc. - Vanguard High Dividend Yield Indx ETF,110.55,114.595,110.185,0.33%,4.00%,12.08,-0.09,neutral,neutral,105.79,117.67,4.045000000000002,3.67%
02/14/2022,XLE,SSgA Active Trust - The Energy Select Sector SPDR Fund,68.663,72.794,68.205,0.67%,6.73%,10.02,-0.11,bullish,bullish,58.75,75.55,4.131,6.06%
02/14/2022,XLP,SSgA Active Trust - Consumer Staples Select Sector SPDR,73.729,77.352,74.47,-1.00%,3.87%,3.89,0.20,bearish,neutral,71.74,80.79,3.6230000000000047,4.87%
02/14/2022,XLRE,SSgA Active Trust - Real Estate Select Sector SPDR Fund (The),44.037,47.877,45.12,-2.40%,6.11%,2.55,0.28,bearish,bearish,42.98,50.63,3.8400000000000034,8.51%
02/14/2022,XLU,SSgA Active Trust - Utilities Select Sector SPDR ETF,65.13,69.576,66.04,-1.38%,5.35%,3.89,0.20,bearish,bearish,64.74,72.16,4.445999999999998,6.73%
02/14/2022,BNDD,Krane Shares Trust - Quadratic Deflation ETF,25.224,26.097,25.53,-1.20%,2.22%,1.85,0.35,bullish,bearish,24.38,27.31,0.8730000000000011,3.42%
02/14/2022,DBA,Invesco DB Multi-Sector Commodity Trust - Invesco DB Agriculture Fund,20.62,21.4,20.925,-1.46%,2.27%,1.56,0.39,bullish,bullish,19.82,21.59,0.7799999999999976,3.73%
02/14/2022,DBB,Invesco DB Multi-Sector Commodity Trust - Invesco DB Base Metals Fund,23.161,24.353,23.62,-1.94%,3.10%,1.60,0.39,bullish,bullish,22.32,24.57,1.1920000000000002,5.05%
