Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/19/2022,ARKK,ARK Innovation ETF,31.719,46.842,43.598,-27.25%,7.44%,0.27,0.79,bearish,bearish,31.72,56.68,1.64,0.38,15.122999999999998,34.69%,0.72,0.68
05/19/2022,CLDS,Direxion Daily Cloud Computing Bear 2X Shares,35.392,51.616,39,-9.25%,32.35%,3.50,0.22,bullish,bullish,23.05,52.42,0.48,0.68,16.223999999999997,41.60%,0.7,0.66
05/19/2022,DBA,Invesco DB Agriculture Fund,21.349,23.149,22.43,-4.82%,3.21%,0.67,0.60,bullish,bullish,21.16,23.82,1.15,0.46,1.8000000000000007,8.02%,0.71,0.56
05/19/2022,EEM,iShares MSCI Emerging Markets ETF,37.877,42.147,41.02,-7.66%,2.75%,0.36,0.74,bearish,bearish,36.12,45.45,0.93,0.52,4.269999999999996,10.41%,0.71,0.61
05/19/2022,EPV,ProShares UltraShort FTSE Europe,13.779,16.579,14.3944,-4.28%,15.18%,3.55,0.22,bullish,bullish,10.55,18.46,0.88,0.53,2.8000000000000007,19.45%,0.74,0.63
05/19/2022,ETHE,Grayscale Ethereum Trust,9.984,16.173,13.56,-26.37%,19.27%,0.73,0.58,bearish,bearish,9.98,20.47,2.28,0.30,6.188999999999998,45.64%,0.76,0.69
05/19/2022,EUM,ProShares Short MSCI Emerging Markets,14.268,15.838,14.675,-2.77%,7.93%,2.86,0.26,bullish,bullish,12.98,16.50,0.79,0.56,1.5699999999999985,10.70%,0.71,0.6
05/19/2022,FDN,First Trust Dow Jones Internet Index Fund,122.711,147.397,138.015,-11.09%,6.80%,0.61,0.62,bearish,bearish,122.71,168.42,2.59,0.28,24.685999999999993,17.89%,0.71,0.66
05/19/2022,FILL,iShares MSCI Global Energy Producers ETF,21.934,25.05,23.97,-8.49%,4.51%,0.53,0.65,bullish,bullish,21.68,25.73,0.98,0.51,3.1159999999999997,13.00%,0.56,0.61
05/19/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,56.468,101.657,77.5801,-27.21%,31.03%,1.14,0.47,bullish,bullish,13.12,108.52,0.42,0.71,45.18899999999999,58.25%,0.75,0.65
05/19/2022,GLD,SPDR Gold Shares,166.578,172.544,171.75,-3.01%,0.46%,0.15,0.87,bearish,bearish,159.95,184.06,1.55,0.39,5.966000000000008,3.47%,0.77,0.69
05/19/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,74.411,77.533,76.45,-2.67%,1.42%,0.53,0.65,bearish,bearish,73.87,79.69,1.29,0.44,3.122,4.08%,0.67,0.65
05/19/2022,IEF,iShares 7-10 Year Treasury Bond ETF,100.796,104.109,103.41,-2.53%,0.68%,0.27,0.79,bearish,bearish,98.60,106.05,0.70,0.59,3.312999999999988,3.20%,0.75,0.67
05/19/2022,IWM,iShares Russell 2000 ETF,162.266,186.185,177.79,-8.73%,4.72%,0.54,0.65,bearish,bearish,162.27,199.07,1.63,0.38,23.91900000000001,13.45%,0.67,0.63
05/19/2022,KSA,iShares MSCI Saudi Arabia ETF,43.964,47.766,45.2381,-2.82%,5.59%,1.98,0.34,bearish,bearish,43.96,50.75,3.66,0.21,3.8019999999999996,8.40%,0.74,0.68
05/19/2022,LABD,Direxion Daily S&P Biotech Bear 3X Shares,47.509,87.498,56.0136,-15.18%,56.21%,3.70,0.21,bullish,neutral,20.67,87.50,0.68,0.59,39.989000000000004,71.39%,0.67,0.62
05/19/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,109.277,113.392,111.77,-2.23%,1.45%,0.65,0.61,bearish,bearish,107.12,116.60,1.13,0.47,4.114999999999995,3.68%,0.68,0.67
05/19/2022,PFIX,Simplify Interest Rate Hedge ETF,54.035,62.581,55.9997,-3.51%,11.75%,3.35,0.23,neutral,bullish,52.20,67.13,2.38,0.30,8.546000000000006,15.26%,0.67,0.68
05/19/2022,QQQ,Invesco QQQ Trust,271.802,310.893,290.96,-6.58%,6.85%,1.04,0.49,bearish,bearish,271.80,342.95,2.68,0.27,39.09099999999995,13.44%,0.7,0.65
05/19/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,58.524,82.764,63.2,-7.40%,30.96%,4.18,0.19,bullish,bullish,42.61,82.76,0.63,0.61,24.239999999999995,38.35%,0.7,N/A
