Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range
04/01/2022,ARCH,Arch Resources  Inc.,121.749,149.889,140.48,-13.33%,6.70%,0.50,0.67,neutral,bullish,120.78,174.92,2.26,0.31,28.140000000000015,20.03%
04/01/2022,ARKK,ARK Innovation ETF,56.734,76.655,67.03,-15.36%,14.36%,0.93,0.52,bullish,bearish,45.75,76.66,0.50,0.66,19.921,29.72%
04/01/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,27.314,31.157,29.16,-6.33%,6.85%,1.08,0.48,bullish,bullish,21.03,33.96,0.72,0.58,3.843,13.18%
04/01/2022,DBA,Invesco DB Agriculture Fund,21.395,22.509,21.71,-1.45%,3.68%,2.54,0.28,bullish,bullish,21.10,23.14,1.62,0.38,1.1140000000000008,5.13%
04/01/2022,DBC,Invesco DB Commodity Index Tracking Fund,24.394,28.152,26.19,-6.86%,7.49%,1.09,0.48,bullish,bullish,23.07,29.93,1.29,0.44,3.7580000000000027,14.35%
04/01/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,116.019,124.755,122.1,-4.98%,2.17%,0.44,0.70,bearish,bearish,114.11,129.14,0.98,0.51,8.73599999999999,7.15%
04/01/2022,ETHE,Grayscale Ethereum Trust,24.766,30.441,28.37,-12.70%,7.30%,0.57,0.64,bullish,bullish,11.69,36.00,0.55,0.64,5.675000000000001,20.00%
04/01/2022,GLD,SPDR Gold Shares,174.353,184.038,179.6,-2.92%,2.47%,0.85,0.54,bearish,neutral,171.44,196.76,1.91,0.34,9.685000000000002,5.39%
04/01/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,80.607,84.159,81.925,-1.61%,2.73%,1.69,0.37,bullish,neutral,78.95,84.16,0.56,0.64,3.5520000000000067,4.34%
04/01/2022,IWM,iShares Russell 2000 ETF,197.007,216.233,206.49,-4.59%,4.72%,1.03,0.49,bullish,neutral,177.24,217.93,0.45,0.69,19.226,9.31%
04/01/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,118.873,123.556,121.265,-1.97%,1.89%,0.96,0.51,neutral,bearish,116.07,123.68,0.56,0.64,4.682999999999993,3.86%
04/01/2022,PCT,PureCycle Technologies  Inc.,6.62,9.517,8.07,-17.97%,17.93%,1.00,0.50,neutral,bullish,3.31,11.19,0.68,0.60,2.8969999999999994,35.90%
04/01/2022,PFIX,Simplify Interest Rate Hedge ETF,46.89,53.188,47.5706,-1.43%,11.81%,8.25,0.11,bullish,bullish,44.93,53.95,0.84,0.54,6.298000000000002,13.24%
04/01/2022,QQQ,Invesco QQQ Trust,343.552,384.084,360.6614,-4.74%,6.49%,1.37,0.42,bullish,neutral,308.18,388.53,0.53,0.65,40.53199999999998,11.24%
04/01/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,39.403,54.528,45.7127,-13.80%,19.28%,1.40,0.42,bearish,bearish,39.40,61.09,2.16,0.32,15.125,33.09%
04/01/2022,SJB,ProShares Short High Yield,17.695,18.464,18.1101,-2.29%,1.95%,0.85,0.54,bearish,neutral,17.70,18.81,1.76,0.36,0.7689999999999984,4.25%
04/01/2022,SPY,SPDR S&P 500 ETF Trust,438.768,470.384,451.775,-2.88%,4.12%,1.43,0.41,bullish,neutral,406.64,476.16,0.56,0.64,31.616000000000042,7.00%
