Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range
04/29/2022,AMLP,Alerian MLP ETF,37.089,41.435,38.3593,-3.31%,8.02%,2.42,0.29,bullish,bullish,35.82,41.81,0.87,0.53,4.346000000000004,11.33%
04/29/2022,ARCH,Arch Resources  Inc.,126.03,191.217,167.15,-24.60%,14.40%,0.59,0.63,neutralDanger,bullish,126.03,209.39,0.94,0.52,65.18700000000001,39.00%
04/29/2022,ARKK,ARK Innovation ETF,46.177,52.945,48.195,-4.19%,9.86%,2.35,0.30,bearish,bearish,38.55,65.22,1.58,0.39,6.768000000000001,14.04%
04/29/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,22.806,26.2,24.0301,-5.09%,9.03%,1.77,0.36,bearish,bearish,21.00,30.50,1.41,0.41,3.3939999999999984,14.12%
04/29/2022,CHAD,Direxion Daily CSI 300 China A Share Bear 1X Shares,19.922,22.11,20.39,-2.30%,8.44%,3.68,0.21,bullish,bullish,18.41,23.40,1.05,0.49,2.187999999999999,10.73%
04/29/2022,DBA,Invesco DB Agriculture Fund,21.953,23.022,22.09,-0.62%,4.22%,6.80,0.13,bullish,bullish,21.41,23.68,2.14,0.32,1.068999999999999,4.84%
04/29/2022,DBC,Invesco DB Commodity Index Tracking Fund,26.687,29.258,27.71,-3.69%,5.59%,1.51,0.40,bullish,bullish,23.89,31.98,1.10,0.48,2.570999999999998,9.28%
04/29/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,102.046,110.55,106.6199,-4.29%,3.69%,0.86,0.54,bearish,bearish,100.70,116.34,1.41,0.42,8.50399999999999,7.98%
04/29/2022,EEM,iShares MSCI Emerging Markets ETF,40.635,42.995,42.715,-4.87%,0.66%,0.13,0.88,bearish,bearish,36.99,46.86,0.88,0.53,2.3599999999999994,5.52%
04/29/2022,ETHE,Grayscale Ethereum Trust,19.053,23.559,20.89,-8.79%,12.78%,1.45,0.41,bearish,bearish,15.05,29.72,1.20,0.45,4.506,21.57%
04/29/2022,EUM,ProShares Short MSCI Emerging Markets,14.061,14.872,14.1699,-0.77%,4.95%,6.45,0.13,bullish,bullish,12.71,16.13,1.09,0.48,0.8109999999999999,5.72%
04/29/2022,FILL,iShares MSCI Global Energy Producers ETF,21.468,23.961,22.624,-5.11%,5.91%,1.16,0.46,neutralDanger,bullish,21.31,24.83,1.16,0.46,2.4929999999999986,11.02%
04/29/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,55.652,77.281,65.2391,-14.70%,18.46%,1.26,0.44,bullish,neutral,17.55,90.66,0.62,0.62,21.629000000000005,33.15%
04/29/2022,GDX,VanEck Vectors Gold Miners ETF,33.419,39.065,35.435,-5.69%,10.24%,1.80,0.36,bearish,neutral,33.42,42.02,3.32,0.23,5.646000000000001,15.93%
04/29/2022,GLD,SPDR Gold Shares,174.016,183.003,178.065,-2.27%,2.77%,1.22,0.45,bearish,bearish,166.81,196.29,1.91,0.34,8.986999999999995,5.05%
04/29/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,78.619,80.62,78.7,-0.10%,2.44%,23.70,0.04,bearish,bearish,76.88,82.47,1.13,0.47,2.0010000000000048,2.54%
04/29/2022,IEF,iShares 7-10 Year Treasury Bond ETF,101.724,104.356,102.865,-1.11%,1.45%,1.31,0.43,bearish,bearish,100.47,107.96,1.59,0.39,2.631999999999991,2.56%
04/29/2022,IWM,iShares Russell 2000 ETF,183.879,198.977,187.31,-1.83%,6.23%,3.40,0.23,bearish,bearish,178.82,209.43,1.41,0.41,15.098000000000013,8.06%
04/29/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,111.387,114.998,112.985,-1.41%,1.78%,1.26,0.44,bearish,bearish,110.08,118.88,1.33,0.43,3.611000000000004,3.20%
04/29/2022,PCT,PureCycle Technologies  Inc.,7.139,9.204,7.79,-8.36%,18.15%,2.17,0.32,bearish,neutral,6.01,11.58,2.03,0.33,2.0650000000000004,26.51%
04/29/2022,PFIX,Simplify Interest Rate Hedge ETF,53.788,64.066,57.87,-7.05%,10.71%,1.52,0.40,bullish,bullish,49.98,65.78,1.30,0.44,10.278000000000006,17.76%
04/29/2022,PST,ProShares UltraShort 7-10 Year Treasury,19.211,20.222,19.79,-2.93%,2.18%,0.75,0.57,bullish,bullish,17.81,20.68,0.62,0.62,1.0110000000000028,5.11%
04/29/2022,QQQ,Invesco QQQ Trust,311.881,338.614,317.685,-1.83%,6.59%,3.61,0.22,bearish,bearish,296.33,375.13,2.60,0.28,26.733000000000004,8.41%
04/29/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,55.333,64.491,61.71,-10.33%,4.51%,0.44,0.70,bullish,bullish,40.40,73.29,0.61,0.62,9.158000000000001,14.84%
04/29/2022,SJB,ProShares Short High Yield,18.346,18.824,18.79,-2.36%,0.18%,0.08,0.93,bullish,bullish,17.92,19.22,0.88,0.53,0.47800000000000153,2.54%
04/29/2022,SPY,SPDR S&P 500 ETF Trust,410.412,438.737,417.18,-1.62%,5.17%,3.19,0.24,bearish,bearish,396.49,468.34,2.41,0.29,28.325000000000045,6.79%
04/29/2022,SQQQ,ProShares UltraPro Short QQQ,39.328,49.654,47.48,-17.17%,4.58%,0.27,0.79,bullish,neutral,24.49,55.74,0.66,0.60,10.326,21.75%
04/29/2022,TBT,ProShares UltraShort 20+ Year Treasury,23.364,26.082,24.64,-5.18%,5.85%,1.13,0.47,bullish,bullish,21.02,26.57,0.73,0.58,2.718,11.03%
04/29/2022,TLT,iShares 20+ Year Treasury Bond ETF,116.313,123.177,119.985,-3.06%,2.66%,0.87,0.53,bearish,bearish,115.01,128.94,1.90,0.35,6.864000000000004,5.72%
04/29/2022,UNG,United States Natural Gas Fund  LP,21.135,28.403,24.98,-15.39%,13.70%,0.89,0.53,bullish,bullish,15.85,29.30,0.68,0.59,7.267999999999997,29.10%
04/29/2022,URNM,North Shore Global Uranium Mining ETF,68.86,87.291,73.655,-6.51%,18.51%,2.84,0.26,bearish,neutral,66.40,94.55,2.10,0.32,18.430999999999997,25.02%
