Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Range spread,Relative Range
02/10/2022,^US30Y,U.S. 30 Year Treasury,2.106,2.301,2.2484,-6.33%,2.34%,0.37,0.73,bullish,bullish,1.79,2.48,0.19500000000000028,8.67%
02/10/2022,USO,United States Commodity Funds LLC - United States Oil Fund,62.535,65.954,64.81,-3.51%,1.77%,0.50,0.67,bullish,bullish,51.25,69.04,3.418999999999997,5.28%
02/10/2022,UUP,Invesco DB US Dollar Index Trust - Invesco DB US Dollar Index Bullish Fund,25.332,26.037,25.505,-0.68%,2.09%,3.08,0.25,bearish,neutral,25.25,26.13,0.7049999999999983,2.76%
02/10/2022,^VIX,CBOE Volatility Index,16.228,26.987,19.96,-18.70%,35.21%,1.88,0.35,bearish,bearish,10.94,32.06,10.758999999999997,53.90%
02/10/2022,VONG,Vanguard Group  Inc. - Vanguard Russell 1000 Growth Index ETF,67.691,76.062,72.18,-6.22%,5.38%,0.86,0.54,neutral,neutral,64.95,77.54,8.370999999999995,11.60%
02/10/2022,VYM,Vanguard Group  Inc. - Vanguard High Dividend Yield Indx ETF,110.329,115.751,113.63,-2.91%,1.87%,0.64,0.61,bullish,bullish,107.48,118.57,5.422000000000011,4.77%
02/10/2022,XLE,SSgA Active Trust - The Energy Select Sector SPDR Fund,66.212,71.395,69.41,-4.61%,2.86%,0.62,0.62,bullish,bullish,57.83,73.98,5.182999999999993,7.47%
02/10/2022,XLP,SSgA Active Trust - Consumer Staples Select Sector SPDR,74.232,77.842,76.18,-2.56%,2.18%,0.85,0.54,bullish,bullish,72.28,81.65,3.6099999999999994,4.74%
02/10/2022,XLRE,SSgA Active Trust - Real Estate Select Sector SPDR Fund (The),45.236,49.051,47.02,-3.79%,4.32%,1.14,0.47,bearish,bearish,43.79,51.97,3.815000000000005,8.11%
02/10/2022,XLU,SSgA Active Trust - Utilities Select Sector SPDR ETF,66.354,70.792,67.76,-2.07%,4.47%,2.16,0.32,bearish,neutral,65.49,73.33,4.438000000000002,6.55%
