Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/09/2022,ARKK,ARK Innovation ETF,42.396,51.378,42.33,0.16%,21.37%,137.09,-0.01,bearish,bearish,36.15,61.72,1.70,0.37,8.982,21.22%,0.72,0.67
05/09/2022,CLDS,Direxion Daily Cloud Computing Bear 2X Shares,30.775,40.638,39.98,-23.02%,1.65%,0.07,0.93,bullish,bullish,21.59,45.89,0.55,0.64,9.863,24.67%,0.7,0.66
05/09/2022,DBA,Invesco DB Agriculture Fund,21.519,22.148,21.555,-0.17%,2.75%,16.47,0.06,bearish,neutral,21.04,23.26,1.78,0.36,0.6290000000000013,2.92%,0.66,0.58
05/09/2022,EEM,iShares MSCI Emerging Markets ETF,39.408,42.98,39.99,-1.46%,7.48%,5.14,0.16,bearish,bearish,35.99,45.97,1.55,0.39,3.5719999999999956,8.93%,0.73,0.59
05/09/2022,ETHE,Grayscale Ethereum Trust,18.214,21.779,16.71,9.00%,30.34%,3.37,-0.42,bearish,bearish,13.91,27.74,1.43,0.41,3.5650000000000013,21.33%,0.68,0.67
05/09/2022,EUM,ProShares Short MSCI Emerging Markets,14.038,15.321,15.1,-7.03%,1.46%,0.21,0.83,bullish,bullish,12.89,16.56,0.94,0.51,1.2829999999999995,8.50%,0.73,0.58
05/09/2022,FDN,First Trust Dow Jones Internet Index Fund,138.127,159.201,141.95,-2.69%,12.15%,4.51,0.18,bearish,bearish,132.95,179.98,2.32,0.30,21.073999999999984,14.85%,0.7,0.66
05/09/2022,FILL,iShares MSCI Global Energy Producers ETF,21.887,24.665,22.7145,-3.64%,8.59%,2.36,0.30,neutralDanger,bullish,21.89,25.89,0.85,0.54,2.7779999999999987,12.23%,0.63,0.63
05/09/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,53.495,89.346,79.1,-32.37%,12.95%,0.40,0.71,bullish,bullish,15.23,99.59,0.53,0.65,35.851000000000006,45.32%,0.76,0.63
05/09/2022,GLD,SPDR Gold Shares,171.062,176.76,173.51,-1.41%,1.87%,1.33,0.43,bearish,bearish,165.29,194.32,1.87,0.35,5.697999999999979,3.28%,0.79,0.66
05/09/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,76.944,79.088,77.029,-0.11%,2.67%,24.22,0.04,bearish,bearish,75.30,81.00,1.49,0.40,2.1439999999999912,2.78%,0.64,0.63
05/09/2022,IEF,iShares 7-10 Year Treasury Bond ETF,100.42,103.209,101.46,-1.03%,1.72%,1.68,0.37,bearish,bearish,98.54,105.98,1.92,0.34,2.7890000000000015,2.75%,0.69,0.66
05/09/2022,IWM,iShares Russell 2000 ETF,175.166,192.263,177,-1.04%,8.62%,8.32,0.11,bearish,bearish,171.86,204.25,4.76,0.17,17.09700000000001,9.66%,0.64,0.61
05/09/2022,KSA,iShares MSCI Saudi Arabia ETF,48.562,51.636,50.12,-3.11%,3.02%,0.97,0.51,bullish,bullish,48.21,52.56,1.37,0.42,3.074000000000005,6.13%,0.62,0.64
