Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range
04/19/2022,ARCH,Arch Resources  Inc.,142.025,174.359,164.4,-13.61%,6.06%,0.45,0.69,bullish,bullish,132.32,208.28,1.02,0.49,32.334,19.67%
04/19/2022,ARKK,ARK Innovation ETF,53.893,65.141,59.4596,-9.36%,9.56%,1.02,0.49,neutral,bearish,43.14,72.78,1.09,0.48,11.248000000000005,18.92%
04/19/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,23.261,27.503,25.9,-10.19%,6.19%,0.61,0.62,bearish,neutral,20.76,30.83,1.18,0.46,4.242000000000001,16.38%
04/19/2022,DBA,Invesco DB Agriculture Fund,22.111,23.132,22.629,-2.29%,2.22%,0.97,0.51,bullish,bullish,21.79,24.09,1.19,0.46,1.0210000000000008,4.51%
04/19/2022,DBC,Invesco DB Commodity Index Tracking Fund,26.776,28.74,27.645,-3.14%,3.96%,1.26,0.44,bullish,bullish,24.34,32.42,0.98,0.51,1.9639999999999986,7.10%
04/19/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,105.019,114.347,105.97,-0.90%,7.91%,8.81,0.10,bearish,bearish,102.68,117.04,2.47,0.29,9.327999999999989,8.80%
04/19/2022,EEM,iShares MSCI Emerging Markets ETF,43.18,46.059,43.695,-1.18%,5.41%,4.59,0.18,neutral,bearish,38.32,47.63,0.73,0.58,2.878999999999998,6.59%
04/19/2022,ETHE,Grayscale Ethereum Trust,19.498,25.842,23.21,-15.99%,11.34%,0.71,0.59,neutral,neutral,14.76,30.78,1.14,0.47,6.343999999999998,27.33%
04/19/2022,EUM,ProShares Short MSCI Emerging Markets,13.135,14.046,13.88,-5.37%,1.20%,0.22,0.82,neutral,neutral,12.60,15.58,1.55,0.39,0.9109999999999996,6.56%
04/19/2022,FILL,iShares MSCI Global Energy Producers ETF,22.92,24.16,23.81,-3.74%,1.47%,0.39,0.72,bullish,bullish,21.80,25.27,0.72,0.58,1.2399999999999984,5.21%
04/19/2022,GDX,VanEck Vectors Gold Miners ETF,39.07,41.831,39.7,-1.59%,5.37%,3.38,0.23,bullish,bullish,35.89,45.83,0.99,0.50,2.761000000000003,6.95%
04/19/2022,GLD,SPDR Gold Shares,180.357,186.09,182.2608,-1.04%,2.10%,2.01,0.33,neutral,bullish,173.24,200.92,1.43,0.41,5.733000000000004,3.15%
04/19/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,78.612,81.812,80.08,-1.83%,2.16%,1.18,0.46,bearish,bearish,77.51,82.87,1.26,0.44,3.200000000000003,4.00%
04/19/2022,IEF,iShares 7-10 Year Treasury Bond ETF,102.106,105.256,102.64,-0.52%,2.55%,4.90,0.17,bearish,bearish,101.33,108.20,2.79,0.26,3.1500000000000057,3.07%
04/19/2022,IWM,iShares Russell 2000 ETF,192.079,204.018,201.4,-4.63%,1.30%,0.28,0.78,bearish,neutral,185.09,213.92,1.30,0.43,11.938999999999993,5.93%
04/19/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,113.026,118.5,113.75,-0.64%,4.18%,6.56,0.13,bearish,bearish,111.09,119.85,1.57,0.39,5.474000000000004,4.81%
04/19/2022,PCT,PureCycle Technologies  Inc.,7.241,9.946,9.03,-19.81%,10.14%,0.51,0.66,neutral,bullish,6.01,12.49,1.31,0.43,2.705,29.96%
04/19/2022,PFIX,Simplify Interest Rate Hedge ETF,51.618,63.808,58.53,-11.81%,9.02%,0.76,0.57,bullish,bullish,49.32,63.81,0.69,0.59,12.189999999999998,20.83%
04/19/2022,PST,ProShares UltraShort 7-10 Year Treasury,18.95,20.084,19.89,-4.73%,0.98%,0.21,0.83,bullish,bullish,17.79,20.49,0.38,0.72,1.1340000000000003,5.70%
04/19/2022,QQQ,Invesco QQQ Trust,327.859,355.962,344.78,-4.91%,3.24%,0.66,0.60,neutral,bearish,303.47,381.19,0.90,0.53,28.10300000000001,8.15%
04/19/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,45.8,55.595,50.71,-9.68%,9.63%,0.99,0.50,neutral,bullish,39.42,65.45,0.98,0.51,9.795000000000002,19.32%
04/19/2022,SJB,ProShares Short High Yield,18.053,18.834,18.485,-2.34%,1.89%,0.81,0.55,bullish,bullish,17.88,19.09,0.99,0.50,0.7809999999999988,4.23%
04/19/2022,SPY,SPDR S&P 500 ETF Trust,431.722,448.39,443.7239,-2.70%,1.05%,0.39,0.72,neutral,neutral,403.51,473.31,0.76,0.57,16.668000000000006,3.76%
04/19/2022,SQQQ,ProShares UltraPro Short QQQ,34.328,44.174,38.2907,-10.35%,15.36%,1.48,0.40,neutral,neutral,24.91,52.73,0.80,0.56,9.845999999999997,25.71%
04/19/2022,TBT,ProShares UltraShort 20+ Year Treasury,22.125,25.371,25.045,-11.66%,1.30%,0.11,0.90,bullish,bullish,21.04,26.12,0.42,0.71,3.2459999999999987,12.96%
04/19/2022,TLT,iShares 20+ Year Treasury Bond ETF,118.299,126.315,119.2,-0.76%,5.97%,7.90,0.11,bearish,bearish,116.37,128.74,3.27,0.23,8.015999999999991,6.72%
04/19/2022,UNG,United States Natural Gas Fund  LP,24.309,27.599,24.795,-1.96%,11.31%,5.77,0.15,bullish,bullish,17.45,34.71,0.78,0.56,3.289999999999999,13.27%
04/19/2022,URNM,North Shore Global Uranium Mining ETF,84.043,95.571,87.79,-4.27%,8.86%,2.08,0.33,bullish,bullish,73.88,106.09,1.15,0.46,11.527999999999992,13.13%
04/19/2022,USO,United States Oil Fund  LP,71.773,83.104,76.64,-6.35%,8.43%,1.33,0.43,neutral,bullish,63.44,98.21,1.54,0.39,11.331000000000003,14.78%
04/19/2022,UUP,Invesco DB US Dollar Index Bullish Fund,26.568,27.105,26.9899,-1.56%,0.43%,0.27,0.79,bullish,bullish,26.27,27.51,0.73,0.58,0.536999999999999,1.99%
04/19/2022,VEGI,iShares MSCI Global Agriculture Producers ETF,47.898,50.572,49.79,-3.80%,1.57%,0.41,0.71,bullish,bullish,46.02,53.09,0.74,0.57,2.6739999999999995,5.37%
04/19/2022,VIXM,ProShares VIX Mid-Term Futures ETF,31.475,33.521,32.0429,-1.77%,4.61%,2.60,0.28,neutral,neutral,29.34,37.09,1.46,0.41,2.0459999999999994,6.39%
04/19/2022,XLE,Energy Select Sector SPDR Fund,77.012,82.914,80.45,-4.27%,3.06%,0.72,0.58,bullish,bullish,73.68,89.33,1.13,0.47,5.902000000000001,7.34%
04/19/2022,ZROZ,PIMCO 25+ Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,113.336,123.767,114.19,-0.75%,8.39%,11.21,0.08,bearish,bearish,110.35,127.33,2.41,0.29,10.430999999999997,9.13%
04/19/2022,^DXY,US Dollar Index,100.251,101.49,100.821,-0.57%,0.66%,1.17,0.46,bullish,bullish,98.50,102.99,0.93,0.52,1.23899999999999,1.23%
04/19/2022,^US10Y,U.S. 10 Year Treasury,2.751,2.959,2.8298,-2.78%,4.57%,1.64,0.38,bullish,bullish,2.08,3.22,0.52,0.66,0.20800000000000018,7.35%
04/19/2022,^US30Y,U.S. 30 Year Treasury,2.679,3.026,2.9198,-8.25%,3.64%,0.44,0.69,bullish,bullish,2.44,3.15,0.48,0.67,0.347,11.88%
