Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Range spread,Relative Range
03/04/2022,PCT,PureCycle Technologies Inc,5.825,7.883,6.83,-14.71%,15.42%,1.05,0.49,bullish,bearish,3.38,8.48,2.058,30.13%
03/04/2022,PINK,Simplify Exchange Traded Funds - Simplify Health Care ETF,24.463,27.213,26.35,-7.16%,3.28%,0.46,0.69,bullish,bearish,23.39,28.53,2.75,10.44%
03/04/2022,PPLT,abrdn ETF - Aberdeen Standard Physical Platinum Shares ETF,96.515,105.648,103.5,-6.75%,2.08%,0.31,0.76,bullish,bullish,94.44,107.78,9.132999999999996,8.82%
03/04/2022,QQQ,Invesco Capital Management LLC - Invesco QQQ Trust Series 1,319.719,354.477,338.01,-5.41%,4.87%,0.90,0.53,bearish,bearish,309.02,368.80,34.75799999999998,10.28%
03/04/2022,SIL,Global X Funds - Global X Silver Miners ETF,33.648,38.044,36.1,-6.79%,5.39%,0.79,0.56,bullish,neutral,30.41,38.81,4.395999999999994,12.18%
03/04/2022,SLV,BlackRock Institutional Trust Company N.A. - iShares Silver Trust,22.714,23.939,23.64,-3.92%,1.26%,0.32,0.76,bullish,bullish,21.00,24.87,1.2250000000000014,5.18%
03/04/2022,SPHB,Invesco Capital Management LLC - Invesco S&P 500 High Beta ETF,69.342,77.445,72.17,-3.92%,7.31%,1.87,0.35,bearish,neutral,67.05,80.55,8.102999999999994,11.23%
03/04/2022,SPLV,Invesco Capital Management LLC - Invesco S&P 500 Low Volatility ETF,61.943,66.176,65.195,-4.99%,1.50%,0.30,0.77,bullish,neutral,61.42,68.58,4.233000000000004,6.49%
03/04/2022,SPY,SSgA Active Trust - S&P 500 ETF TRUST ETF,413.208,447.067,431.43,-4.22%,3.62%,0.86,0.54,bearish,bearish,407.25,460.67,33.85899999999998,7.85%
03/04/2022,TLT,BlackRock Institutional Trust Company N.A. - BTC iShares 20+ Year Treasury Bond ETF,134.532,141.787,140.215,-4.05%,1.12%,0.28,0.78,bearish,bearish,132.28,141.79,7.2549999999999955,5.17%
