Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/23/2022,ARKK,ARK Innovation ETF,31.295,47.825,42.125,-25.71%,13.53%,0.53,0.66,bearish,bearish,31.30,57.86,1.39,0.42,16.53,39.24%,0.73,0.68
05/23/2022,CHIR,Global X MSCI China Real Estate ETF,8.183,9.754,9.355,-12.53%,4.27%,0.34,0.75,bearish,bearish,6.28,12.05,0.87,0.53,1.5709999999999997,16.79%,0.76,0.62
05/23/2022,CHIS,Global X MSCI China Consumer Staples ETF,20.629,22.767,22.575,-8.62%,0.85%,0.10,0.91,bearish,bearish,17.52,24.83,0.51,0.66,2.137999999999998,9.47%,0.7,0.62
05/23/2022,CLDS,Direxion Daily Cloud Computing Bear 2X Shares,33.955,49.575,40.04,-15.20%,23.81%,1.57,0.39,bullish,bullish,22.31,49.58,0.60,0.62,15.620000000000005,39.01%,0.68,0.67
05/23/2022,DBA,Invesco DB Agriculture Fund,21.413,23.258,22.385,-4.34%,3.90%,0.90,0.53,bullish,bullish,21.09,23.67,1.25,0.45,1.8449999999999989,8.24%,0.67,0.56
05/23/2022,EEM,iShares MSCI Emerging Markets ETF,38.297,42.209,41.51,-7.74%,1.68%,0.22,0.82,bearish,bearish,36.83,46.09,1.15,0.47,3.912000000000006,9.42%,0.71,0.6
05/23/2022,EPV,ProShares UltraShort FTSE Europe,13.332,16.279,13.67,-2.47%,19.09%,7.72,0.11,bullish,neutral,10.36,17.99,0.92,0.52,2.946999999999999,21.56%,0.74,0.62
05/23/2022,ETHE,Grayscale Ethereum Trust,9.264,15.259,13.64,-32.08%,11.87%,0.37,0.73,bearish,bearish,9.26,20.18,1.93,0.34,5.995000000000001,43.95%,0.75,0.69
05/23/2022,EUM,ProShares Short MSCI Emerging Markets,14.268,15.648,14.5,-1.60%,7.92%,4.95,0.17,bullish,bullish,12.82,16.19,0.84,0.54,1.379999999999999,9.52%,0.7,0.59
05/23/2022,FDN,First Trust Dow Jones Internet Index Fund,122.084,146.385,136.99,-10.88%,6.86%,0.63,0.61,bearish,bearish,122.08,169.04,2.26,0.31,24.300999999999988,17.74%,0.7,0.66
05/23/2022,FILL,iShares MSCI Global Energy Producers ETF,22.108,25.281,24.4801,-9.69%,3.27%,0.34,0.75,bullish,bullish,21.84,25.96,0.95,0.51,3.1729999999999983,12.96%,0.56,0.62
05/23/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,62.957,104.957,79.0079,-20.32%,32.84%,1.62,0.38,bullish,bullish,12.96,110.86,0.43,0.70,41.99999999999999,53.16%,0.74,0.64
05/23/2022,GLD,SPDR Gold Shares,167.081,174.394,172.47,-3.12%,1.12%,0.36,0.74,bearish,bearish,162.08,186.55,1.21,0.45,7.313000000000017,4.24%,0.76,0.68
05/23/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,74.577,77.884,76.815,-2.91%,1.39%,0.48,0.68,bearish,bearish,74.19,79.98,1.55,0.39,3.307000000000002,4.31%,0.65,0.65
