Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range
03/29/2022,ARCH,Arch Resources  Inc.,124.886,154.678,137.17,-8.96%,12.76%,1.43,0.41,neutral,bullish,122.40,175.04,1.85,0.35,29.792,21.72%
03/29/2022,ARKK,ARK Innovation ETF,54.665,75.767,71.1701,-23.19%,6.46%,0.28,0.78,bullish,bearish,46.11,77.08,0.48,0.68,21.101999999999997,29.65%
03/29/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,26.748,32.48,29.8799,-10.48%,8.70%,0.83,0.55,bullish,bullish,21.30,35.62,0.62,0.62,5.731999999999996,19.18%
03/29/2022,BNDD,Quadratic Deflation ETF,24.519,25.621,25.41,-3.51%,0.83%,0.24,0.81,bearish,neutral,24.51,26.21,0.92,0.52,1.1020000000000003,4.34%
03/29/2022,BNO,United States Brent Oil Fund  LP,24.008,34.664,30.96,-22.45%,11.96%,0.53,0.65,bearish,bullish,24.01,38.45,1.26,0.44,10.656000000000002,34.42%
03/29/2022,CF,CF Industries Holdings  Inc.,91.894,112.799,99.525,-7.67%,13.34%,1.74,0.37,bullish,bullish,83.99,118.86,0.65,0.61,20.905,21.00%
03/29/2022,CHIX,Global X MSCI China Financials ETF,12.467,14.74,13.7,-9.00%,7.59%,0.84,0.54,bearish,bearish,12.00,15.18,0.93,0.52,2.2729999999999997,16.59%
03/29/2022,DBA,Invesco DB Agriculture Fund,21.199,22.437,21.735,-2.47%,3.23%,1.31,0.43,bullish,bullish,21.12,23.13,1.52,0.40,1.2379999999999995,5.70%
03/29/2022,DBC,Invesco DB Commodity Index Tracking Fund,23.18,27.82,26.08,-11.12%,6.67%,0.60,0.62,neutral,bullish,23.18,29.75,1.35,0.43,4.640000000000001,17.79%
03/29/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,114.002,121.672,120.2142,-5.17%,1.21%,0.23,0.81,bearish,bearish,113.80,127.19,1.58,0.39,7.670000000000002,6.38%
03/29/2022,ETHE,Grayscale Ethereum Trust,22.343,28.069,28.71,-22.18%,-2.23%,-0.10,1.11,bullish,bearish,11.62,34.46,0.62,0.62,5.725999999999999,19.94%
03/29/2022,FXY,Invesco CurrencyShares Japanese Yen Trust,75.148,76.646,76.302,-1.51%,0.45%,0.30,0.77,bearish,bearish,74.97,80.06,6.09,0.14,1.4980000000000047,1.96%
03/29/2022,GLD,SPDR Gold Shares,171.152,184.373,178.9611,-4.36%,3.02%,0.69,0.59,bearish,neutral,171.15,195.43,2.07,0.33,13.221000000000004,7.39%
03/29/2022,GRN,iPath Series B Carbon ETN,29.975,38.009,31.94,-6.15%,19.00%,3.09,0.24,bullish,bullish,17.59,38.01,0.46,0.69,8.033999999999999,25.15%
03/29/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,79.657,83.656,82.68,-3.66%,1.18%,0.32,0.76,bearish,bearish,79.04,83.66,0.65,0.60,3.9990000000000094,4.84%
03/29/2022,IWM,iShares Russell 2000 ETF,196.862,215.632,210.87,-6.64%,2.26%,0.34,0.75,bullish,neutral,178.04,218.49,0.44,0.70,18.77000000000001,8.90%
03/29/2022,KBA,KraneShares Bosera MSCI China A ETF,33.011,39.434,36.01,-8.33%,9.51%,1.14,0.47,bearish,bearish,32.01,39.43,0.86,0.54,6.422999999999995,17.84%
03/29/2022,KRE,SPDR S&P Regional Banking ETF,69.123,75.034,71.84,-3.78%,4.45%,1.18,0.46,neutral,bearish,64.39,78.58,1.12,0.47,5.911000000000001,8.23%
03/29/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,116.971,122.695,120.82,-3.19%,1.55%,0.49,0.67,bearish,bearish,115.83,122.85,0.71,0.58,5.7239999999999895,4.74%
03/29/2022,PCT,PureCycle Technologies  Inc.,6.773,9.854,8.53,-20.60%,15.52%,0.75,0.57,neutral,bearish,3.11,10.56,0.70,0.59,3.0809999999999995,36.12%
03/29/2022,PFIX,Simplify Interest Rate Hedge ETF,46.737,52.343,50.1993,-6.90%,4.27%,0.62,0.62,bullish,bullish,45.45,54.78,0.66,0.60,5.606000000000002,11.17%
03/29/2022,QQQ,Invesco QQQ Trust,338.908,381.247,369.36,-8.24%,3.22%,0.39,0.72,bullish,neutral,308.85,390.69,0.46,0.68,42.339,11.46%
