Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Range spread,Relative Range
02/03/2022,VYM,Vanguard High Dividend Yield Indx ETF,108.89,113.534,112.66,-3.35%,0.78%,0.23,0.81,bearish,bullish,107.25,117.91,4.6440000000000055,4.12%
02/03/2022,VONG,Vanguard Russell 1000 Growth Index ETF,66.261,73.796,70.74,-6.33%,4.32%,0.68,0.59,bearish,neutral,65.94,77.77,7.535000000000011,10.65%
02/03/2022,USO,United States Commodity Funds LLC - United States Oil Fund,61.061,64.675,63.635,-4.04%,1.63%,0.40,0.71,bullish,bullish,48.24,67.22,3.613999999999997,5.68%
02/03/2022,UUP,Invesco DB US Dollar Index Trust - Invesco DB US Dollar Index Bullish Fund,25.507,26.141,25.535,-0.11%,2.37%,21.64,0.04,bullish,neutral,25.34,26.38,0.6339999999999968,2.48%
02/03/2022,VIX.INDX,CBOE Volatility Index,20.328,32.033,22.09,-7.98%,45.01%,5.64,0.15,bullish,bearish,11.96,34.96,11.705000000000002,52.99%
02/03/2022,XLE,SSgA Active Trust - The Energy Select Sector SPDR Fund,64.9,70.26,68.07,-4.66%,3.22%,0.69,0.59,bullish,bullish,56.21,72.84,5.359999999999999,7.87%
02/03/2022,XLP,SSgA Active Trust - Consumer Staples Select Sector SPDR,74.167,77.213,77.03,-3.72%,0.24%,0.06,0.94,bearish,bullish,72.42,81.86,3.0459999999999923,3.95%
02/03/2022,XLRE,SSgA Active Trust - Real Estate Select Sector SPDR Fund (The),44.839,48.051,47.52,-5.64%,1.12%,0.20,0.83,bearish,neutral,44.48,52.20,3.2120000000000033,6.76%
02/03/2022,XLU,SSgA Active Trust - Utilities Select Sector SPDR ETF,66.296,70.385,69.045,-3.98%,1.94%,0.49,0.67,bearish,neutral,66.00,73.72,4.088999999999999,5.92%
02/03/2022,BNDD,Krane Shares Trust - Quadratic Deflation ETF,25.162,26.083,25.48,-1.25%,2.37%,1.90,0.35,neutral,bearish,24.49,27.28,0.9209999999999994,3.61%
02/03/2022,DBA,Invesco DB Multi-Sector Commodity Trust - Invesco DB Agriculture Fund,19.982,20.863,20.48,-2.43%,1.87%,0.77,0.57,bullish,bullish,19.39,21.32,0.8810000000000002,4.30%
02/03/2022,DBB,Invesco DB Multi-Sector Commodity Trust - Invesco DB Base Metals Fund,22.795,23.707,23.095,-1.30%,2.65%,2.04,0.33,bullish,bullish,21.84,24.04,0.911999999999999,3.95%
