Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Range spread,Relative Range
03/07/2022,URNM,Exchange Traded Concepts Trust - North Shore Global Uranium Mining ETF,65.655,80.501,77.045,-14.78%,4.49%,0.30,0.77,bullish,neutral,53.85,81.15,14.846000000000004,19.27%
03/07/2022,^US10Y,U.S. 10 Year Treasury,1.592,1.888,1.7324,-8.10%,8.98%,1.11,0.47,bearish,neutral,1.59,2.11,0.2959999999999998,17.09%
03/07/2022,^US30Y,U.S. 30 Year Treasury,2.037,2.276,2.1607,-5.72%,5.34%,0.93,0.52,bearish,bullish,2.04,2.44,0.23899999999999988,11.06%
03/07/2022,USO,United States Commodity Funds LLC - United States Oil Fund,69.85,81.309,81.405,-14.19%,-0.12%,-0.01,1.01,bullish,bullish,67.27,83.60,11.459000000000003,14.08%
03/07/2022,UUP,Invesco DB US Dollar Index Trust - Invesco DB US Dollar Index Bullish Fund,26.053,26.487,26.55,-1.87%,-0.24%,-0.13,1.15,bullish,neutral,25.70,26.75,0.4339999999999975,1.63%
03/07/2022,UUUU,Energy Fuels Inc,6.623,9.372,8.89,-25.50%,5.42%,0.21,0.82,bullish,bullish,4.91,9.51,2.7489999999999997,30.92%
03/07/2022,VEGI,BlackRock Institutional Trust Company N.A. - iShares MSCI Global Agriculture Producers ETF,41.485,45.213,44.74,-7.28%,1.06%,0.15,0.87,bullish,bullish,41.32,46.44,3.7280000000000015,8.33%
03/07/2022,^VIX,CBOE Volatility Index,26.463,36.603,31.98,-17.25%,14.46%,0.84,0.54,bullish,bullish,16.92,46.12,10.14,31.71%
03/07/2022,XLE,SSgA Active Trust - The Energy Select Sector SPDR Fund,68.772,76.911,75.7,-9.15%,1.60%,0.17,0.85,bullish,bullish,66.34,81.31,8.138999999999996,10.75%
03/07/2022,XLP,SSgA Active Trust - Consumer Staples Select Sector SPDR,73.397,77.882,74.83,-1.92%,4.08%,2.13,0.32,bullish,neutral,73.19,79.81,4.484999999999999,5.99%
03/07/2022,ARCH,Arch Resources Inc - Class A,126.727,156.918,152.01,-16.63%,3.23%,0.19,0.84,bullish,bullish,113.57,162.83,30.191000000000003,19.86%
03/07/2022,BNDD,Krane Shares Trust - Quadratic Deflation ETF,25.336,26.325,26.026,-2.65%,1.15%,0.43,0.70,bullish,neutral,24.59,26.58,0.9890000000000008,3.80%
03/07/2022,CF,CF Industries Holdings Inc,80.621,93.57,95.16,-15.28%,-1.67%,-0.11,1.12,bullish,bullish,71.52,104.81,12.948999999999998,13.61%
03/07/2022,CHIX,Global X Funds - Global X MSCI China Financials ETF,13.784,14.279,13.75,0.25%,3.85%,15.56,-0.07,bearish,bearish,13.58,15.42,0.4949999999999992,3.60%
