Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,1 year Hurst
05/03/2022,AMLP,Alerian MLP ETF,36.281,40.872,39.15,-7.33%,4.40%,0.60,0.62,bearish,neutral,35.11,41.67,1.22,0.45,4.591000000000001,11.73%,0.69
05/03/2022,ARCH,Arch Resources  Inc.,124.836,193.403,175.17,-28.73%,10.41%,0.36,0.73,neutralDanger,bullish,124.84,205.48,1.02,0.49,68.567,39.14%,0.6
05/03/2022,ARKK,ARK Innovation ETF,46.066,53.157,50.5,-8.78%,5.26%,0.60,0.63,bearish,bearish,38.92,66.42,1.45,0.41,7.090999999999994,14.04%,0.68
05/03/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,22.283,25.521,23.68,-5.90%,7.77%,1.32,0.43,bearish,bearish,20.34,29.93,1.62,0.38,3.2379999999999995,13.67%,N/A
05/03/2022,CHAD,Direxion Daily CSI 300 China A Share Bear 1X Shares,19.828,22.29,20.3198,-2.42%,9.70%,4.01,0.20,bullish,bullish,18.31,23.21,1.15,0.47,2.4619999999999997,12.12%,0.61
05/03/2022,DBA,Invesco DB Agriculture Fund,21.713,22.586,21.8607,-0.68%,3.32%,4.91,0.17,bearish,bullish,21.16,23.39,1.70,0.37,0.8729999999999976,3.99%,0.58
05/03/2022,DBC,Invesco DB Commodity Index Tracking Fund,26.699,29.48,27.5,-2.91%,7.20%,2.47,0.29,bullish,bullish,24.03,32.22,1.09,0.48,2.780999999999999,10.11%,0.66
05/03/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,100.329,108.266,105.31,-4.73%,2.81%,0.59,0.63,bearish,bearish,98.24,113.17,1.82,0.35,7.937000000000012,7.54%,0.66
05/03/2022,EEM,iShares MSCI Emerging Markets ETF,40.327,43.024,42.64,-5.42%,0.90%,0.17,0.86,bearish,bearish,36.95,46.94,0.86,0.54,2.6970000000000027,6.33%,0.6
05/03/2022,ETHE,Grayscale Ethereum Trust,18.064,22.479,20.35,-11.23%,10.46%,0.93,0.52,bearish,bearish,14.36,28.43,1.36,0.42,4.414999999999999,21.70%,0.66
05/03/2022,EUM,ProShares Short MSCI Emerging Markets,14.06,14.976,14.2001,-0.99%,5.46%,5.54,0.15,bullish,bullish,12.69,16.14,1.11,0.47,0.9160000000000004,6.45%,0.59
05/03/2022,FILL,iShares MSCI Global Energy Producers ETF,21.099,23.693,23.2618,-9.30%,1.85%,0.20,0.83,bearish,neutral,20.93,24.49,1.28,0.44,2.594000000000001,11.15%,0.64
05/03/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,55.923,79.177,60.6101,-7.73%,30.63%,3.96,0.20,bullish,neutral,17.26,90.06,0.63,0.61,23.254000000000005,38.37%,0.64
05/03/2022,GDX,VanEck Vectors Gold Miners ETF,32.312,37.176,35.245,-8.32%,5.48%,0.66,0.60,bearish,bearish,32.31,41.41,3.07,0.25,4.864000000000004,13.80%,0.68
