Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Range spread,Relative Range
02/07/2022,USO,United States Commodity Funds LLC - United States Oil Fund,62.737,66.916,64.72,-3.06%,3.39%,1.11,0.47,bullish,bullish,49.51,69.62,4.178999999999995,6.46%
02/07/2022,UUP,Invesco DB US Dollar Index Trust - Invesco DB US Dollar Index Bullish Fund,25.471,26.103,25.579,-0.42%,2.05%,4.85,0.17,bullish,neutral,25.24,26.25,0.6320000000000014,2.47%
02/07/2022,VIX.INDX,CBOE Volatility Index,18.745,32.851,23.22,-19.27%,41.48%,2.15,0.32,bullish,bearish,12.02,36.57,14.105999999999998,60.75%
02/07/2022,VONG,Vanguard Group  Inc. - Vanguard Russell 1000 Growth Index ETF,65.915,74.278,70.69,-6.75%,5.08%,0.75,0.57,bearish,bearish,65.20,76.49,8.363,11.83%
02/07/2022,VYM,Vanguard Group  Inc. - Vanguard High Dividend Yield Indx ETF,108.066,114.307,112.225,-3.71%,1.86%,0.50,0.67,bearish,neutral,106.34,117.62,6.241,5.56%
02/07/2022,XLE,SSgA Active Trust - The Energy Select Sector SPDR Fund,65.368,70.822,69.655,-6.15%,1.68%,0.27,0.79,bullish,bullish,56.52,73.54,5.454000000000008,7.83%
02/07/2022,XLP,SSgA Active Trust - Consumer Staples Select Sector SPDR,73.717,77.264,76.055,-3.07%,1.59%,0.52,0.66,bearish,bullish,71.91,81.18,3.546999999999997,4.66%
02/07/2022,XLRE,SSgA Active Trust - Real Estate Select Sector SPDR Fund (The),44.379,48.311,46.72,-5.01%,3.41%,0.68,0.60,bearish,bearish,44.01,51.51,3.932000000000002,8.42%
02/07/2022,XLU,SSgA Active Trust - Utilities Select Sector SPDR ETF,65.886,70.359,68.37,-3.63%,2.91%,0.80,0.56,bearish,neutral,65.65,73.08,4.472999999999999,6.54%
02/07/2022,BNDD,Krane Shares Trust - Quadratic Deflation ETF,24.909,25.869,25.305,-1.56%,2.23%,1.42,0.41,bearish,bearish,24.32,27.00,0.9600000000000009,3.79%
02/07/2022,DBA,Invesco DB Multi-Sector Commodity Trust - Invesco DB Agriculture Fund,20.076,21.026,20.68,-2.92%,1.67%,0.57,0.64,bullish,bullish,19.49,21.36,0.9499999999999993,4.59%
02/07/2022,DBB,Invesco DB Multi-Sector Commodity Trust - Invesco DB Base Metals Fund,22.836,23.924,23.346,-2.18%,2.48%,1.13,0.47,bullish,bullish,22.06,24.25,1.088000000000001,4.66%
02/07/2022,DEF,Invesco Capital Management LLC - Invesco Defensive Equity ETF,66.442,70.414,68.744,-3.35%,2.43%,0.73,0.58,bearish,neutral,66.34,73.61,3.9720000000000084,5.78%
02/07/2022,DXY.INDX,US Dollar Index,95.008,97.152,95.478,-0.49%,1.75%,3.56,0.22,neutral,neutral,94.25,97.42,2.1440000000000055,2.25%
02/07/2022,ETHE,Grayscale Investments LLC - Grayscale Ethereum Trust,15.676,25.141,23.35,-32.87%,7.67%,0.23,0.81,bearish,bearish,14.92,28.44,9.464999999999998,40.54%
02/07/2022,GLD,SSgA Active Trust - SPDR Gold Shares ETF,164.791,172.214,169.92,-3.02%,1.35%,0.45,0.69,bearish,neutral,160.68,173.31,7.423000000000002,4.37%
02/07/2022,GRN,Barclays Bank PLC - ZC SP ETN REDEEM 08/09/2049 USD 50,36.139,39.265,37.74,-4.24%,4.04%,0.95,0.51,bullish,bullish,29.85,47.04,3.1259999999999977,8.28%
02/07/2022,HAL,Halliburton Co.,29.614,34.348,32.375,-8.53%,6.09%,0.71,0.58,bullish,bullish,23.86,34.79,4.733999999999998,14.62%
02/07/2022,MTUM,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI USA Momentum Factor ETF,153.813,172.625,166.02,-7.35%,3.98%,0.54,0.65,bearish,bearish,152.19,177.79,18.812000000000012,11.33%
02/07/2022,PINK,Simplify Exchange Traded Funds - Simplify Health Care ETF,24.156,26.018,25.523,-5.36%,1.94%,0.36,0.73,bearish,bearish,23.78,27.93,1.8620000000000019,7.30%
02/07/2022,QQQ,Invesco Capital Management LLC - Invesco QQQ Trust Series 1,331.537,374.563,355.8,-6.82%,5.27%,0.77,0.56,bearish,bearish,329.94,387.45,43.02600000000001,12.09%
02/07/2022,QUAL,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI USA Quality Factor ETF,126.939,139.368,132.89,-4.48%,4.87%,1.09,0.48,bearish,bearish,126.11,142.50,12.429000000000002,9.35%
02/07/2022,SPHB,Invesco Capital Management LLC - Invesco S&P 500 High Beta ETF,69.042,77.512,74.92,-7.85%,3.46%,0.44,0.69,bearish,neutral,69.04,81.08,8.469999999999999,11.31%
02/07/2022,SPLV,Invesco Capital Management LLC - Invesco S&P 500 Low Volatility ETF,62.674,66.14,64.84,-3.34%,2.00%,0.60,0.62,bearish,neutral,62.46,69.82,3.466000000000001,5.35%
02/07/2022,SPY,SSgA Active Trust - S&P 500 ETF TRUST ETF,424.145,463.204,447.53,-5.23%,3.50%,0.67,0.60,bearish,neutral,422.72,475.89,39.059000000000026,8.73%
