Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/10/2022,ARKK,ARK Innovation ETF,38.704,48.441,41.08,-5.78%,17.92%,3.10,0.24,bearish,bearish,33.38,57.22,2.08,0.33,9.737000000000002,23.70%,0.73,0.68
05/10/2022,CLDS,Direxion Daily Cloud Computing Bear 2X Shares,31.444,44.397,40.565,-22.48%,9.45%,0.42,0.70,bullish,bullish,22.32,50.43,0.48,0.68,12.953,31.93%,0.72,0.66
05/10/2022,DBA,Invesco DB Agriculture Fund,21.099,21.935,21.48,-1.77%,2.12%,1.19,0.46,bearish,bearish,20.61,22.98,1.75,0.36,0.8359999999999985,3.89%,0.69,0.61
05/10/2022,EEM,iShares MSCI Emerging Markets ETF,38.582,42.498,39.94,-3.40%,6.40%,1.88,0.35,bearish,bearish,35.27,45.09,1.22,0.45,3.915999999999997,9.80%,0.73,0.6
05/10/2022,ETHE,Grayscale Ethereum Trust,15.244,20.108,16.41,-7.11%,22.54%,3.17,0.24,bearish,bearish,12.01,23.79,1.98,0.34,4.864000000000001,29.64%,0.71,0.68
05/10/2022,EUM,ProShares Short MSCI Emerging Markets,14.157,15.636,15.13,-6.43%,3.34%,0.52,0.66,bullish,bullish,13.09,16.91,0.82,0.55,1.4789999999999992,9.78%,0.72,0.59
05/10/2022,FDN,First Trust Dow Jones Internet Index Fund,132.429,155.383,140.35,-5.64%,10.71%,1.90,0.35,bearish,bearish,127.06,173.73,2.63,0.28,22.954000000000008,16.35%,0.71,0.66
05/10/2022,FILL,iShares MSCI Global Energy Producers ETF,20.741,24.05,22.45,-7.61%,7.13%,0.94,0.52,neutralDanger,neutral,20.74,24.37,1.42,0.41,3.309000000000001,14.74%,0.61,0.63
05/10/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,53.674,99.897,77.76,-30.97%,28.47%,0.92,0.52,bullish,bullish,12.97,111.32,0.44,0.69,46.223000000000006,59.44%,0.75,0.65
05/10/2022,GLD,SPDR Gold Shares,169.434,175.327,171.36,-1.12%,2.32%,2.06,0.33,bearish,bearish,163.15,192.25,1.99,0.33,5.893000000000001,3.44%,0.78,0.66
