Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/17/2022,ARKK,ARK Innovation ETF,32.936,46.945,42,-21.58%,11.77%,0.55,0.65,bearish,bearish,32.89,56.67,1.93,0.34,14.009,33.35%,0.71,0.67
05/17/2022,CLDS,Direxion Daily Cloud Computing Bear 2X Shares,33.216,47.934,39.28,-15.44%,22.03%,1.43,0.41,bullish,bullish,22.28,48.83,0.52,0.66,14.717999999999996,37.47%,0.69,0.66
05/17/2022,DBA,Invesco DB Agriculture Fund,21.501,22.938,22.9508,-6.32%,-0.06%,-0.01,1.01,bullish,bullish,21.28,24.23,0.89,0.53,1.4369999999999976,6.26%,0.73,0.58
05/17/2022,EEM,iShares MSCI Emerging Markets ETF,38.077,42.536,41.107,-7.37%,3.48%,0.47,0.68,bearish,bearish,35.64,45.47,1.09,0.48,4.459000000000003,10.85%,0.71,0.59
05/17/2022,EPV,ProShares UltraShort FTSE Europe,13.651,16.385,14.11,-3.25%,16.12%,4.96,0.17,bullish,bullish,10.52,18.59,0.96,0.51,2.7340000000000018,19.38%,0.74,0.63
05/17/2022,ETHE,Grayscale Ethereum Trust,11.019,17.007,14.05,-21.57%,21.05%,0.98,0.51,bearish,bearish,10.85,20.93,2.78,0.26,5.988000000000001,42.62%,0.74,0.69
05/17/2022,EUM,ProShares Short MSCI Emerging Markets,14.16,15.788,14.67,-3.48%,7.62%,2.19,0.31,bullish,bullish,12.99,16.71,0.88,0.53,1.6280000000000001,11.10%,0.71,0.58
05/17/2022,FDN,First Trust Dow Jones Internet Index Fund,126.885,151.421,140.73,-9.84%,7.60%,0.77,0.56,bearish,bearish,126.70,172.69,2.51,0.28,24.535999999999987,17.43%,0.7,0.66
05/17/2022,FILL,iShares MSCI Global Energy Producers ETF,22.084,25.196,24.18,-8.67%,4.20%,0.48,0.67,bullish,bullish,21.81,25.87,0.93,0.52,3.112000000000002,12.87%,0.56,0.61
05/17/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,54.561,96.744,72.6481,-24.90%,33.17%,1.33,0.43,bullish,bullish,13.63,104.75,0.43,0.70,42.183,58.06%,0.74,0.64
05/17/2022,GLD,SPDR Gold Shares,167.792,173.428,169.58,-1.05%,2.27%,2.15,0.32,bearish,bearish,160.86,185.03,1.53,0.39,5.635999999999996,3.32%,0.77,0.68
05/17/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,75.087,78.18,76.585,-1.96%,2.08%,1.06,0.48,bearish,bearish,74.47,80.25,1.59,0.39,3.0930000000000035,4.04%,0.66,0.64
05/17/2022,IEF,iShares 7-10 Year Treasury Bond ETF,100.624,103.806,102.3882,-1.72%,1.38%,0.80,0.55,bearish,bearish,98.84,106.27,0.77,0.57,3.182000000000002,3.11%,0.74,0.68
05/17/2022,KSA,iShares MSCI Saudi Arabia ETF,45.184,49.163,45.6469,-1.01%,7.70%,7.60,0.12,bearish,bearish,45.18,51.29,3.31,0.23,3.978999999999999,8.72%,0.71,0.66
05/17/2022,LABD,Direxion Daily S&P Biotech Bear 3X Shares,47.581,86.767,55.3499,-14.04%,56.76%,4.04,0.20,bullish,neutral,20.54,86.77,0.64,0.61,39.18599999999999,70.80%,0.69,0.62
05/17/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,109.54,113.583,111.19,-1.48%,2.15%,1.45,0.41,bearish,bearish,107.47,116.86,1.17,0.46,4.042999999999992,3.64%,0.66,0.67
05/17/2022,PFIX,Simplify Interest Rate Hedge ETF,56.1,64.432,59.9761,-6.46%,7.43%,1.15,0.47,bullish,bullish,53.24,68.67,1.90,0.34,8.332,13.89%,0.64,0.67
05/17/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,59.304,81.655,66.305,-10.56%,23.15%,2.19,0.31,bullish,bullish,42.72,81.66,0.54,0.65,22.351,33.71%,0.72,N/A
