Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,1 year Hurst
05/02/2022,AMLP,Alerian MLP ETF,36.442,40.883,37.62,-3.13%,8.67%,2.77,0.27,neutral,neutral,35.11,41.61,1.20,0.46,4.4410000000000025,11.80%,0.695
05/02/2022,ARCH,Arch Resources  Inc.,125.451,188.556,159.59,-21.39%,18.15%,0.85,0.54,neutralDanger,bullish,125.45,206.69,0.98,0.50,63.10500000000002,39.54%,0.599
05/02/2022,ARKK,ARK Innovation ETF,44.624,51.457,48.14,-7.30%,6.89%,0.94,0.51,bearish,bearish,37.48,63.44,1.69,0.37,6.832999999999998,14.19%,0.697
05/02/2022,BITO,ProShares Trust - ProShares Bitcoin Strategy ETF,22.058,25.416,23.955,-7.92%,6.10%,0.77,0.56,bearish,bearish,20.24,29.82,1.66,0.38,3.3580000000000005,14.02%,N/A
05/02/2022,CHAD,Direxion Daily CSI 300 China A Share Bear 1X Shares,19.87,22.219,20.795,-4.45%,6.85%,1.54,0.39,bullish,bullish,18.35,23.29,1.10,0.48,2.349,11.30%,0.61
05/02/2022,DBA,Invesco DB Agriculture Fund,21.794,22.863,21.88,-0.39%,4.49%,11.43,0.08,bullish,bullish,21.23,23.46,1.99,0.33,1.068999999999999,4.89%,0.579
05/02/2022,DBC,Invesco DB Commodity Index Tracking Fund,26.555,29.133,27.765,-4.36%,4.93%,1.13,0.47,bullish,bullish,23.74,31.82,1.13,0.47,2.5779999999999994,9.29%,0.662
05/02/2022,EDV,Vanguard Extended Duration Treasury Index Fund ETF Shares,101.169,109.384,103.77,-2.51%,5.41%,2.16,0.32,bearish,bearish,99.58,114.53,2.37,0.30,8.215000000000003,7.92%,0.662
05/02/2022,EEM,iShares MSCI Emerging Markets ETF,40.487,43.097,41.99,-3.58%,2.64%,0.74,0.58,bearish,bearish,37.02,46.97,0.86,0.54,2.6099999999999994,6.22%,0.602
05/02/2022,ETHE,Grayscale Ethereum Trust,18.052,22.498,20.11,-10.23%,11.87%,1.16,0.46,bearish,bearish,14.38,28.40,1.36,0.42,4.4460000000000015,22.11%,0.659
05/02/2022,EUM,ProShares Short MSCI Emerging Markets,14.011,14.911,14.42,-2.84%,3.40%,1.20,0.45,bullish,bullish,12.67,16.08,1.14,0.47,0.9000000000000004,6.24%,0.596
05/02/2022,FILL,iShares MSCI Global Energy Producers ETF,21.136,23.661,22.4,-5.64%,5.63%,1.00,0.50,bearish,neutral,20.87,24.42,1.29,0.44,2.525000000000002,11.27%,0.642
05/02/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,58.75,81.757,68.2899,-13.97%,19.72%,1.41,0.41,bullish,bullish,16.37,96.04,0.55,0.64,23.007000000000005,33.69%,0.648
05/02/2022,GDX,VanEck Vectors Gold Miners ETF,32.845,38.293,34.3,-4.24%,11.64%,2.74,0.27,bearish,neutral,32.84,41.73,3.14,0.24,5.448,15.88%,0.681
05/02/2022,GLD,SPDR Gold Shares,173.666,182.409,173.94,-0.16%,4.87%,30.91,0.03,bearish,bearish,166.75,196.28,3.25,0.24,8.742999999999995,5.03%,0.652
05/02/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,77.801,79.774,77.995,-0.25%,2.28%,9.17,0.10,bearish,bearish,76.14,81.78,1.36,0.42,1.972999999999999,2.53%,0.631
05/02/2022,IEF,iShares 7-10 Year Treasury Bond ETF,101.326,104.214,101.97,-0.63%,2.20%,3.48,0.22,bearish,bearish,100.05,107.51,1.70,0.37,2.8880000000000052,2.83%,0.666
05/02/2022,IWM,iShares Russell 2000 ETF,180.6,195.508,184.05,-1.87%,6.23%,3.32,0.23,bearish,bearish,174.06,206.18,1.80,0.36,14.908000000000015,8.10%,0.611
05/02/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,110.629,114.232,111.56,-0.83%,2.40%,2.87,0.26,bearish,bearish,109.07,118.07,1.55,0.39,3.6029999999999944,3.23%,0.662
05/02/2022,PCT,PureCycle Technologies  Inc.,7.136,9.184,7.84,-8.98%,17.14%,1.91,0.34,bearish,neutral,5.97,11.54,2.04,0.33,2.047999999999999,26.12%,0.641
05/02/2022,PFIX,Simplify Interest Rate Hedge ETF,54.716,63.545,60.46,-9.50%,5.10%,0.54,0.65,bullish,bullish,50.78,67.32,1.16,0.46,8.829,14.60%,N/A
05/02/2022,PST,ProShares UltraShort 7-10 Year Treasury,19.247,20.365,20.07,-4.10%,1.47%,0.36,0.74,bullish,bullish,17.95,20.84,0.58,0.63,1.1179999999999986,5.57%,0.665
05/02/2022,QQQ,Invesco QQQ Trust,305.347,328.334,311.855,-2.09%,5.28%,2.53,0.28,bearish,bearish,287.72,363.16,1.63,0.38,22.987000000000023,7.37%,0.67
05/02/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,56.674,66.57,61.535,-7.90%,8.18%,1.04,0.49,bullish,bullish,40.84,75.28,0.57,0.64,9.895999999999994,16.08%,N/A
05/02/2022,SJB,ProShares Short High Yield,18.538,19.029,18.88,-1.81%,0.79%,0.44,0.70,bullish,bullish,18.04,19.41,0.71,0.58,0.49099999999999966,2.60%,0.629
05/02/2022,SPY,SPDR S&P 500 ETF Trust,402.59,428.93,408.84,-1.53%,4.91%,3.21,0.24,bearish,bearish,385.50,457.04,1.46,0.41,26.340000000000032,6.44%,0.617
05/02/2022,SQQQ,ProShares UltraPro Short QQQ,42.5,52.99,49.95,-14.91%,6.09%,0.41,0.71,bullish,bullish,25.60,61.06,0.49,0.67,10.490000000000002,21.00%,0.657
05/02/2022,TBT,ProShares UltraShort 20+ Year Treasury,23.593,26.405,25.615,-7.89%,3.08%,0.39,0.72,bullish,bullish,21.43,27.02,0.64,0.61,2.812000000000001,10.98%,0.658
