Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/20/2022,ARKK,ARK Innovation ETF,31.814,48.455,41.24,-22.86%,17.50%,0.77,0.57,bearish,bearish,31.81,58.56,1.66,0.38,16.641,40.35%,0.72,0.68
05/20/2022,CLDS,Direxion Daily Cloud Computing Bear 2X Shares,34.47,49.652,39.91,-13.63%,24.41%,1.79,0.36,bullish,bullish,22.43,49.65,0.56,0.64,15.182000000000002,38.04%,0.69,0.66
05/20/2022,DBA,Invesco DB Agriculture Fund,21.347,23.243,22.22,-3.93%,4.60%,1.17,0.46,bullish,bullish,21.15,23.82,1.15,0.47,1.8959999999999972,8.53%,0.69,0.56
05/20/2022,EEM,iShares MSCI Emerging Markets ETF,38.228,42.127,40.835,-6.38%,3.16%,0.50,0.67,bearish,bearish,36.73,45.96,1.18,0.46,3.899000000000001,9.55%,0.71,0.6
05/20/2022,EPV,ProShares UltraShort FTSE Europe,13.498,16.369,14.52,-7.04%,12.73%,1.81,0.36,bullish,neutral,10.42,18.13,0.91,0.52,2.8710000000000004,19.77%,0.75,0.62
05/20/2022,ETHE,Grayscale Ethereum Trust,9.648,15.713,12.88,-25.09%,22.00%,0.88,0.53,bearish,bearish,9.65,20.66,1.95,0.34,6.0649999999999995,47.09%,0.76,0.69
05/20/2022,EUM,ProShares Short MSCI Emerging Markets,14.292,15.673,14.745,-3.07%,6.29%,2.05,0.33,bullish,bullish,12.85,16.23,0.83,0.55,1.3810000000000002,9.37%,0.71,0.59
05/20/2022,FDN,First Trust Dow Jones Internet Index Fund,122.783,146.76,134.34,-8.60%,9.25%,1.07,0.48,bearish,bearish,122.78,169.34,2.36,0.30,23.97699999999999,17.85%,0.71,0.66
05/20/2022,FILL,iShares MSCI Global Energy Producers ETF,22.019,25.165,23.87,-7.75%,5.43%,0.70,0.59,bullish,bullish,21.76,25.84,0.96,0.51,3.146000000000001,13.18%,0.56,0.61
05/20/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,61.383,101.793,84.61,-27.45%,20.31%,0.74,0.57,bullish,bullish,13.34,107.73,0.44,0.70,40.410000000000004,47.76%,0.74,0.64
05/20/2022,GLD,SPDR Gold Shares,167.217,174.308,171.65,-2.58%,1.55%,0.60,0.63,bearish,bearish,162.01,186.44,1.47,0.41,7.09099999999998,4.13%,0.78,0.68
05/20/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,74.678,77.946,76.36,-2.20%,2.08%,0.94,0.51,bearish,bearish,74.25,80.04,1.56,0.39,3.2680000000000007,4.28%,0.67,0.64
05/20/2022,IEF,iShares 7-10 Year Treasury Bond ETF,101.065,104.425,103.75,-2.59%,0.65%,0.25,0.80,bearish,bearish,98.63,106.37,0.64,0.61,3.3599999999999994,3.24%,0.75,0.67
05/20/2022,IWM,iShares Russell 2000 ETF,161.65,186.289,173.05,-6.59%,7.65%,1.16,0.46,bearish,bearish,161.65,199.17,1.52,0.40,24.63899999999998,14.24%,0.67,0.62
05/20/2022,KSA,iShares MSCI Saudi Arabia ETF,43.593,47.033,45.02,-3.17%,4.47%,1.41,0.41,bearish,bearish,43.59,50.64,3.38,0.23,3.4399999999999977,7.64%,0.76,0.68
05/20/2022,LABD,Direxion Daily S&P Biotech Bear 3X Shares,45.49,83.663,59.425,-23.45%,40.79%,1.74,0.37,bullish,neutral,20.61,85.64,0.80,0.56,38.172999999999995,64.24%,0.68,0.61
05/20/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,109.481,113.649,112.25,-2.47%,1.25%,0.51,0.66,bearish,bearish,107.22,116.77,1.05,0.49,4.168000000000006,3.71%,0.68,0.67
05/20/2022,PFIX,Simplify Interest Rate Hedge ETF,53.194,61.903,52.45,1.42%,18.02%,12.71,-0.09,bearish,bullish,51.51,66.52,4.40,0.19,8.708999999999996,16.60%,0.67,0.69
05/20/2022,QQQ,Invesco QQQ Trust,269.79,309.189,284.3,-5.10%,8.75%,1.72,0.37,bearish,bearish,269.79,341.44,2.62,0.28,39.399,13.86%,0.7,0.65
05/20/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,56.317,80.972,67.0799,-16.04%,20.71%,1.29,0.44,bullish,neutral,41.66,81.29,0.75,0.57,24.654999999999994,36.75%,0.72,N/A
05/20/2022,SJB,ProShares Short High Yield,18.804,19.666,19.23,-2.22%,2.27%,1.02,0.49,bullish,bullish,18.29,19.78,0.63,0.61,0.8620000000000019,4.48%,0.68,0.64
05/20/2022,SMH,VanEck Vectors Semiconductor ETF,207.771,244.539,222.18,-6.49%,10.06%,1.55,0.39,bearish,bearish,203.65,269.81,1.71,0.37,36.768,16.55%,0.65,0.62
05/20/2022,SOXS,Direxion Daily Semiconductor Bear 3X Shares,39.081,64.713,55.75,-29.90%,16.08%,0.54,0.65,neutralDanger,neutral,22.93,70.52,0.67,0.60,25.63199999999999,45.98%,0.65,0.6
05/20/2022,SPY,SPDR S&P 500 ETF Trust,370.646,409.957,384.34,-3.56%,6.67%,1.87,0.35,bearish,bearish,370.65,438.17,2.59,0.28,39.31099999999998,10.23%,0.68,0.62
05/20/2022,SQQQ,ProShares UltraPro Short QQQ,46.798,69.626,61.215,-23.55%,13.74%,0.58,0.63,bullish,bullish,27.79,69.63,0.37,0.73,22.828000000000003,37.29%,0.7,0.64
05/20/2022,TBT,ProShares UltraShort 20+ Year Treasury,24.229,27.985,24.98,-3.01%,12.03%,4.00,0.20,bullish,bullish,23.20,28.80,1.36,0.42,3.7560000000000002,15.04%,0.68,0.66
05/20/2022,TLT,iShares 20+ Year Treasury Bond ETF,111.349,120.313,118.51,-6.04%,1.52%,0.25,0.80,bearish,bearish,109.70,122.64,0.73,0.58,8.963999999999999,7.56%,0.68,0.66
05/20/2022,TZA,Direxion Daily Small Cap Bear 3X Shares,37.315,55.416,46.9142,-20.46%,18.12%,0.89,0.53,bullish,bullish,27.44,55.42,0.65,0.61,18.101,38.58%,0.67,0.61
05/20/2022,UNG,United States Natural Gas Fund  LP,22.411,33.003,27.73,-19.18%,19.02%,0.99,0.50,bullish,bullish,22.41,34.75,1.29,0.44,10.591999999999999,38.20%,0.66,0.66
05/20/2022,USO,United States Oil Fund  LP,73.097,85.766,80.86,-9.60%,6.07%,0.63,0.61,bullish,bullish,63.08,99.65,1.09,0.48,12.669000000000011,15.67%,0.67,0.65
05/20/2022,UUP,Invesco DB US Dollar Index Bullish Fund,27.236,28.067,27.57,-1.21%,1.80%,1.49,0.40,bullish,bullish,26.80,28.25,0.94,0.52,0.8309999999999995,3.01%,0.69,0.62
05/20/2022,VGK,Vanguard FTSE Europe Index Fund ETF Shares,53.197,58.994,56.83,-6.39%,3.81%,0.60,0.63,bearish,bearish,49.65,64.58,1.02,0.50,5.796999999999997,10.20%,0.75,0.62
05/20/2022,VIXM,ProShares VIX Mid-Term Futures ETF,32.973,38.591,35.8035,-7.91%,7.79%,0.98,0.50,bullish,bullish,30.36,38.99,0.73,0.58,5.618000000000002,15.69%,0.68,0.55
05/20/2022,XBI,SPDR S&P Biotech ETF,57.773,74.647,68.236,-15.33%,9.40%,0.61,0.62,bearish,bearish,57.77,84.64,1.31,0.43,16.874000000000002,24.73%,0.68,0.63
05/20/2022,XLE,Energy Select Sector SPDR Fund,74.554,87.101,81.28,-8.28%,7.16%,0.87,0.54,bullish,bullish,73.60,91.05,1.23,0.45,12.546999999999997,15.44%,0.62,0.62
05/20/2022,^DXY,US Dollar Index,101.89,104.896,102.869,-0.95%,1.97%,2.07,0.33,bullish,bullish,100.19,105.78,1.09,0.48,3.0060000000000002,2.92%,N/A,N/A
05/20/2022,^US10Y,U.S. 10 Year Treasury,2.694,3.121,2.8931,-6.88%,7.88%,1.14,0.47,bearish,bullish,2.67,3.51,2.82,0.26,0.42700000000000005,14.76%,N/A,N/A
05/20/2022,^US30Y,U.S. 30 Year Treasury,2.898,3.281,3.0557,-5.16%,7.37%,1.43,0.41,bullish,bullish,2.76,3.42,1.26,0.44,0.383,12.53%,N/A,N/A
05/20/2022,^VIX,CBOE Volatility Index,22.15,37.375,29.77,-25.60%,25.55%,1.00,0.50,bullish,neutral,12.00,41.98,0.73,0.58,15.225000000000001,51.14%,0.7,0.52
05/20/2022,^VVIX:^VIX,^VVIX:^VIX,3.207,4.085,3.658380920389654,-12.34%,11.66%,0.95,0.51,bearish,bearish,2.79,5.23,2.10,0.32,0.8780000000000001,24.00%,N/A,N/A
05/20/2022,XLU,Utilities Select Sector SPDR Fund,68.881,73.236,71.02,-3.01%,3.12%,1.04,0.49,bearish,neutral,67.39,80.11,2.50,0.29,4.355000000000004,6.13%,0.79,0.65
05/20/2022,CHIR,Global X MSCI China Real Estate ETF,8.262,10.049,9.161,-9.81%,9.69%,0.99,0.50,bearish,neutral,6.22,12.20,1.03,0.49,1.786999999999999,19.51%,0.76,0.62
05/20/2022,PSQ,ProShares Short QQQ,13.201,15.112,14.54,-9.21%,3.93%,0.43,0.70,bullish,bullish,11.65,15.11,0.20,0.83,1.9109999999999996,13.14%,0.69,0.64
05/20/2022,RWM,ProShares Short Russell2000,23.952,27.464,25.82,-7.23%,6.37%,0.88,0.53,bullish,bullish,22.08,27.46,0.44,0.69,3.511999999999997,13.60%,0.67,0.61
05/20/2022,CHIS,Global X MSCI China Consumer Staples ETF,20.329,22.348,21.902,-7.18%,2.04%,0.28,0.78,bearish,bearish,17.25,24.34,0.52,0.66,2.0189999999999984,9.22%,0.7,0.62
