Current Date,Ticker,Name,Lower Fractal Range,Upper Fractal Range,Last Price,Downside,Upside,Upside / Downside,Position on Range in %,30D HH/LL,Trend,Long Term: Lower Fractal Range,Long Term: Upper Fractal Range,Long Term: Upside / Downside,Long Term: Position on Range in %,Range spread,Relative Range,3-month Hurst,1-year Hurst
05/18/2022,ARKK,ARK Innovation ETF,32.683,48.639,41.59,-21.42%,16.95%,0.79,0.56,bearish,bearish,32.68,58.73,1.51,0.40,15.956000000000003,38.36%,0.72,0.68
05/18/2022,CLDS,Direxion Daily Cloud Computing Bear 2X Shares,33.057,47.897,41.86,-21.03%,14.42%,0.69,0.59,bullish,bullish,22.13,48.00,0.54,0.65,14.839999999999996,35.45%,0.69,0.66
05/18/2022,DBA,Invesco DB Agriculture Fund,21.574,23.146,22.405,-3.71%,3.31%,0.89,0.53,bullish,bullish,21.30,24.35,0.84,0.54,1.5719999999999992,7.02%,0.75,0.57
05/18/2022,EEM,iShares MSCI Emerging Markets ETF,38.564,43.155,40.61,-5.04%,6.27%,1.24,0.45,bearish,bearish,36.43,46.24,1.01,0.50,4.591000000000001,11.31%,0.72,0.61
05/18/2022,EPV,ProShares UltraShort FTSE Europe,13.28,15.888,14.57,-8.85%,9.05%,1.02,0.49,bullish,neutral,10.23,17.71,1.01,0.50,2.6080000000000005,17.90%,0.73,0.63
05/18/2022,ETHE,Grayscale Investments LLC - Grayscale Ethereum Trust,10.527,17.268,13.07,-19.46%,32.12%,1.65,0.38,bearish,bearish,10.53,21.46,2.13,0.32,6.741000000000001,51.58%,0.74,0.69
05/18/2022,EUM,ProShares Short MSCI Emerging Markets,13.963,15.559,14.8488,-5.97%,4.78%,0.80,0.56,bullish,bullish,12.79,16.31,0.95,0.51,1.596,10.75%,0.72,0.6
05/18/2022,FDN,First Trust Dow Jones Internet Index Fund,127.471,152.937,136.73,-6.77%,11.85%,1.75,0.36,bearish,bearish,127.47,174.94,2.16,0.32,25.466000000000008,18.63%,0.7,0.66
05/18/2022,FILL,iShares MSCI Global Energy Producers ETF,22.322,25.459,23.805,-6.23%,6.95%,1.12,0.47,bullish,bullish,22.02,26.16,0.88,0.53,3.1370000000000005,13.18%,0.58,0.61
05/18/2022,FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,52.227,92.421,78.0514,-33.09%,18.41%,0.56,0.64,bullish,neutral,14.67,97.85,0.51,0.66,40.19400000000001,51.50%,0.73,0.65
05/18/2022,GLD,SPDR Gold Shares,166.779,172.611,169.84,-1.80%,1.63%,0.91,0.52,bearish,bearish,159.91,183.99,1.56,0.39,5.831999999999994,3.43%,0.76,0.68
05/18/2022,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,74.93,78.094,76.035,-1.45%,2.71%,1.86,0.35,bearish,bearish,74.39,80.17,1.58,0.39,3.1639999999999873,4.16%,0.67,0.64
05/18/2022,IEF,iShares 7-10 Year Treasury Bond ETF,100.237,103.65,102.83,-2.52%,0.80%,0.32,0.76,bearish,bearish,98.45,105.40,0.82,0.55,3.413000000000011,3.32%,0.75,0.67
05/18/2022,IWM,iShares Russell 2000 ETF,165.488,191.487,177.39,-6.71%,7.95%,1.18,0.46,bearish,bearish,165.49,203.72,1.23,0.45,25.998999999999995,14.66%,0.7,0.64
05/18/2022,KSA,iShares MSCI Saudi Arabia ETF,44.439,48.664,45.73,-2.82%,6.42%,2.27,0.31,bearish,bearish,44.43,50.90,3.94,0.20,4.225000000000001,9.24%,0.73,0.68
05/18/2022,LABD,Direxion Daily S&P Biotech Bear 3X Shares,43.148,78.211,59.5128,-27.50%,31.42%,1.14,0.47,neutral,neutral,20.37,80.70,0.87,0.53,35.062999999999995,58.92%,0.72,0.62
05/18/2022,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,109.008,113.051,111.112,-1.89%,1.75%,0.92,0.52,bearish,bearish,106.97,116.36,1.24,0.45,4.043000000000006,3.64%,0.67,0.67
05/18/2022,PFIX,Simplify Interest Rate Hedge ETF,56.857,65.726,57.6969,-1.46%,13.92%,9.56,0.09,bullish,bullish,55.28,70.80,1.91,0.34,8.869,15.37%,0.64,0.67
05/18/2022,QQQ,Invesco QQQ Trust,281.46,323.497,294.31,-4.37%,9.92%,2.27,0.31,bearish,bearish,281.46,356.24,2.03,0.33,42.037000000000035,14.28%,0.69,0.66
05/18/2022,SARK,Collaborative Investment Series Trust - Tuttle Capital Short Innovation ETF,57.018,80.251,66.7886,-14.63%,20.16%,1.38,0.42,bullish,neutral,41.68,80.25,0.69,0.59,23.233000000000004,34.79%,0.73,N/A
05/18/2022,SJB,ProShares Short High Yield,18.776,19.611,19.3188,-2.81%,1.51%,0.54,0.65,bullish,bullish,18.27,19.75,0.63,0.61,0.8350000000000009,4.32%,0.67,0.63
